item_id,sku,name,status,type,reason
3479156000001284020,4703,Eje de Motor Sellado Ozono 122.5mm - 68mm,Active,goods,NOT_IMPORTED
3479156000001486143,S57037,CAMBIO SHIMANO 6/7V. RD-TX35 C/PATA (BOLSA) ARDTY300B,Active,goods,NOT_IMPORTED
3479156000001570035,18474,CAMARA BEST BUTILO 27.5 X 1.95 / 2.125 VAL/FRANCESA 48MM WANDA,Active,goods,NOT_IMPORTED
3479156000001593056,AE0081,Risk Sticker protector para cadena de bicicleta,Active,goods,NOT_IMPORTED
3479156000001593170,AE0089,Corona DECKAS 104BCD Monoplato 34T Negra,Active,goods,NOT_IMPORTED
3479156000001595020,AE0093,Volante IXF Integrado Black 170Mm + Motor BSA + Corona 34T,Active,goods,NOT_IMPORTED
3479156000001628041,PO02755001765,MANILLA FRENO MTB V-BRAKE 3 DEDOS SAIGUAN,Active,goods,NOT_IMPORTED
3479156000001789145,AE0114,Cassette Shimano Cs-Hg200 8V 12-32T AE,Active,goods,NOT_IMPORTED
3479156000001897001,S60067,cambiador shimano fd-tz510-ds6 3 (friction) x7/6 31.8mm T/ARRIBA,Active,goods,NOT_IMPORTED
3479156000002015039,AE0136,Tee Aluminio Wake MTB 31.8MM x 45MM Negro,Active,goods,NOT_IMPORTED
3479156000002025168,AE0144,Caliper Freno Trasero Mecánico Bucklos AE,Active,goods,NOT_IMPORTED
3479156000002025185,AE0145,Caliper Freno Delantero Mecánico Bucklos AE,Active,goods,NOT_IMPORTED
3479156000002040090,AE0151,Luz Delantera T6 LED AE 1000 Lumen,Active,goods,NOT_IMPORTED
3479156000002080014,DF0002,Cubre Sillín DF,Active,goods,NOT_IMPORTED
3479156000002110052,6927116100124,CAMARA 26 X 1.50/2.20 V/FRANCESA 48mm EN CAJA,Active,goods,NOT_IMPORTED
3479156000002171039,AE0154,Sillín Gel RiderAce Prostático Negro,Active,goods,NOT_IMPORTED
3479156000002171056,AE0155,Disco freno Shimano Deore RT56 160MM,Active,goods,NOT_IMPORTED
3479156000002228039,AE0159,Luz trasera AE Led Recargable,Active,goods,NOT_IMPORTED
3479156000002228098,AE0162,Pastillas Freno Disco Hidráulico Metálica ZTTO Par DS03S,Active,goods,NOT_IMPORTED
3479156000002476018,AE0169,Disco de Freno Flotante 160mm Negro Deckas,Active,goods,NOT_IMPORTED
3479156000002476286,AE0183,Pastillas Freno Disco Hidráulico Metálica ZTTO Par DS06S,Active,goods,NOT_IMPORTED
3479156000002562178,23450,Campanilla Negra Ciclo,Active,goods,NOT_IMPORTED
3479156000002766003,PB00001,Disco freno Shimano RT26 160MM,Active,goods,NOT_IMPORTED
3479156000002788024,6927116185589,Cámara Chaoyang 26x1.95/2.125 A/V 33MM,Active,goods,NOT_IMPORTED
3479156000002849003,AE0203,Guantes Dedo Completo Negro - West Biking - Silicona - XL,Active,goods,NOT_IMPORTED
3479156000002884024,2000000402321,Pedal Neco Mtb 9/16 103 X 100 Mm Aluminio,Active,goods,NOT_IMPORTED
3479156000003186154,AE0239,Cadena ZTTO 9V Silver 116 Links,Active,goods,NOT_IMPORTED
3479156000003257003,7290001283912,Candado OnGuard Llave Espiral NS Coil 180cmX12mm Naranjo,Active,goods,NOT_IMPORTED
3479156000003258017,7290001284117,Candado OnGuard Clave Espiral NS 180cmX12mm Verde,Active,goods,NOT_IMPORTED
3479156000003344003,23407,"Neumatico 10TEN, 26x1.75",Active,goods,NOT_IMPORTED
3479156000003611014,23140,Piñón Radius FW-8SI-GT 8 Vel Atornillado 14-34T,Active,goods,NOT_IMPORTED
3479156000003625131,16225,"Camara RIDEXC Butyl 29x1,75/2,125 Valvula de Auto 48mm",Active,goods,NOT_IMPORTED
3479156000003625408,4711041558295,Neumático 700x28C Kenda K1176 Negro,Active,goods,NOT_IMPORTED
3479156000003817025,AE0276,Pedal ENLEE CR-2 Olivia AluminioCNC Negro Sellado,Active,goods,NOT_IMPORTED
3479156000004043358,7290001284339,Candado OnGuard Llave Espiral NS 180cmX12mm Naranjo,Active,goods,NOT_IMPORTED
3479156000004107003,1471007AB,PEDALES DE ALUMINIO MTB KENLI HF-882,Active,goods,NOT_IMPORTED
3479156000004130032,AE0292,Pastillas Freno Disco Semi Metal - Ceramico DS01 ZTTO,Active,goods,NOT_IMPORTED
3479156000004857003,252085,CAMARA ARO 26X1.95/2.125 A/V 48MM,Active,goods,NOT_IMPORTED
3479156000004935334,23138,"Piñon RADIUS, Atornillado, 7 Velocidades, 14/28T, Brown/Black",Active,goods,NOT_IMPORTED
3479156000005061007,AE0307,Guantes Dedo Completo Negro - West Biking - Silicona - M,Active,goods,NOT_IMPORTED
3479156000005061026,AE0308,Guantes Dedo Completo Negro - West Biking - Silicona - L,Active,goods,NOT_IMPORTED
