table,index,size_bytes,size,table_writes_since_2026-08-30,live_rows,definition
aliexpress_sku_reservation_receipts,idx_aliexpress_sku_receipts_supplier,16384,16 kB,0,0,"CREATE INDEX idx_aliexpress_sku_receipts_supplier ON public.aliexpress_sku_reservation_receipts USING btree (tenant_id, supplier_id, created_at DESC, id DESC)"
app_files,idx_app_files_source,16384,16 kB,4,4,"CREATE INDEX idx_app_files_source ON public.app_files USING btree (tenant_id, source_type, created_at DESC) WHERE (deleted_at IS NULL)"
assistant_approvals,assistant_approvals_pending_expiry_idx,16384,16 kB,0,0,CREATE INDEX assistant_approvals_pending_expiry_idx ON public.assistant_approvals USING btree (expires_at) WHERE (state = 'pending'::text)
assistant_run_leases,assistant_leases_expiry_idx,16384,16 kB,151,0,CREATE INDEX assistant_leases_expiry_idx ON public.assistant_run_leases USING btree (lease_expires_at)
bike_aggregate_save_operations,idx_bike_aggregate_save_operations_bike,16384,16 kB,20,20,"CREATE INDEX idx_bike_aggregate_save_operations_bike ON public.bike_aggregate_save_operations USING btree (tenant_id, bike_id, completed_at DESC)"
bike_brands,idx_bike_brands_is_active,16384,16 kB,3,3,CREATE INDEX idx_bike_brands_is_active ON public.bike_brands USING btree (is_active)
bike_brands,idx_bike_brands_name,16384,16 kB,3,3,CREATE INDEX idx_bike_brands_name ON public.bike_brands USING btree (lower(name))
bike_catalog,idx_bike_catalog_brand,16384,16 kB,0,0,CREATE INDEX idx_bike_catalog_brand ON public.bike_catalog USING btree (lower(brand))
bike_catalog,idx_bike_catalog_model,16384,16 kB,0,0,CREATE INDEX idx_bike_catalog_model ON public.bike_catalog USING btree (lower(model_name))
bike_catalog,idx_bike_catalog_search,16384,16 kB,0,0,"CREATE INDEX idx_bike_catalog_search ON public.bike_catalog USING btree (lower(brand), model_year, lower(model_name))"
bike_catalog,idx_bike_catalog_source,16384,16 kB,0,0,CREATE INDEX idx_bike_catalog_source ON public.bike_catalog USING btree (data_source)
bike_catalog,idx_bike_catalog_type,16384,16 kB,0,0,CREATE INDEX idx_bike_catalog_type ON public.bike_catalog USING btree (bike_type) WHERE (bike_type IS NOT NULL)
bike_catalog,idx_bike_catalog_year,16384,16 kB,0,0,CREATE INDEX idx_bike_catalog_year ON public.bike_catalog USING btree (model_year)
bike_component_lifecycles,idx_bike_component_lifecycles_bike,16384,16 kB,16,6,CREATE INDEX idx_bike_component_lifecycles_bike ON public.bike_component_lifecycles USING btree (bike_id)
bike_component_lifecycles,idx_bike_component_lifecycles_job_bike,16384,16 kB,16,6,CREATE INDEX idx_bike_component_lifecycles_job_bike ON public.bike_component_lifecycles USING btree (job_bike_id) WHERE (job_bike_id IS NOT NULL)
bike_component_lifecycles,idx_bike_component_lifecycles_product,16384,16 kB,16,6,CREATE INDEX idx_bike_component_lifecycles_product ON public.bike_component_lifecycles USING btree (product_id) WHERE (product_id IS NOT NULL)
bike_component_lifecycles,idx_bike_component_lifecycles_tenant,16384,16 kB,16,6,CREATE INDEX idx_bike_component_lifecycles_tenant ON public.bike_component_lifecycles USING btree (tenant_id)
bike_events,idx_bike_events_event_type,16384,16 kB,89,89,CREATE INDEX idx_bike_events_event_type ON public.bike_events USING btree (event_type)
bike_events,idx_bike_events_job_id,16384,16 kB,89,89,CREATE INDEX idx_bike_events_job_id ON public.bike_events USING btree (job_id) WHERE (job_id IS NOT NULL)
bike_events,idx_bike_events_tenant,16384,16 kB,89,89,CREATE INDEX idx_bike_events_tenant ON public.bike_events USING btree (tenant_id)
bike_interventions,idx_bike_interventions_job_bike,16384,16 kB,20,10,CREATE INDEX idx_bike_interventions_job_bike ON public.bike_interventions USING btree (job_bike_id) WHERE (job_bike_id IS NOT NULL)
bike_interventions,idx_bike_interventions_tenant,16384,16 kB,20,10,CREATE INDEX idx_bike_interventions_tenant ON public.bike_interventions USING btree (tenant_id)
bike_models,idx_bike_models_is_active,16384,16 kB,11,11,CREATE INDEX idx_bike_models_is_active ON public.bike_models USING btree (is_active)
bike_models,idx_bike_models_name,16384,16 kB,11,11,CREATE INDEX idx_bike_models_name ON public.bike_models USING btree (lower(name))
bike_models,idx_bike_models_tenant,16384,16 kB,11,11,CREATE INDEX idx_bike_models_tenant ON public.bike_models USING btree (tenant_id)
bike_observations,idx_bike_observations_tenant,16384,16 kB,457,993,CREATE INDEX idx_bike_observations_tenant ON public.bike_observations USING btree (tenant_id)
bike_profiles,idx_bike_profiles_bike,16384,16 kB,20,20,CREATE INDEX idx_bike_profiles_bike ON public.bike_profiles USING btree (bike_id)
bike_profiles,idx_bike_profiles_catalog_bike_id,16384,16 kB,20,20,CREATE INDEX idx_bike_profiles_catalog_bike_id ON public.bike_profiles USING btree (catalog_bike_id) WHERE (catalog_bike_id IS NOT NULL)
bike_profiles,idx_bike_profiles_tenant,16384,16 kB,20,20,CREATE INDEX idx_bike_profiles_tenant ON public.bike_profiles USING btree (tenant_id)
bike_system_states,idx_bike_system_states_tenant,16384,16 kB,480,695,CREATE INDEX idx_bike_system_states_tenant ON public.bike_system_states USING btree (tenant_id)
bikes,idx_bikes_brand_id,16384,16 kB,20,20,CREATE INDEX idx_bikes_brand_id ON public.bikes USING btree (brand_id)
bikes,idx_bikes_model_id,16384,16 kB,20,20,CREATE INDEX idx_bikes_model_id ON public.bikes USING btree (model_id)
bikes,idx_bikes_serial_number,16384,16 kB,20,20,CREATE INDEX idx_bikes_serial_number ON public.bikes USING btree (serial_number) WHERE (serial_number IS NOT NULL)
bug_reports,idx_bug_reports_module,16384,16 kB,0,0,"CREATE INDEX idx_bug_reports_module ON public.bug_reports USING btree (tenant_id, module)"
bug_reports,idx_bug_reports_status,16384,16 kB,0,0,"CREATE INDEX idx_bug_reports_status ON public.bug_reports USING btree (tenant_id, status)"
bug_reports,idx_bug_reports_tenant,16384,16 kB,0,0,CREATE INDEX idx_bug_reports_tenant ON public.bug_reports USING btree (tenant_id)
category_tech_mappings,idx_category_tech_mappings_tenant,16384,16 kB,0,0,CREATE INDEX idx_category_tech_mappings_tenant ON public.category_tech_mappings USING btree (tenant_id)
companies,idx_companies_default,16384,16 kB,0,0,"CREATE INDEX idx_companies_default ON public.companies USING btree (tenant_id, is_default)"
companies,idx_companies_tenant,16384,16 kB,0,0,CREATE INDEX idx_companies_tenant ON public.companies USING btree (tenant_id)
company_bank_accounts,idx_company_bank_accounts_company,16384,16 kB,0,0,CREATE INDEX idx_company_bank_accounts_company ON public.company_bank_accounts USING btree (company_id)
company_bank_accounts,idx_company_bank_accounts_default,16384,16 kB,0,0,"CREATE INDEX idx_company_bank_accounts_default ON public.company_bank_accounts USING btree (tenant_id, company_id, is_default)"
company_bank_accounts,idx_company_bank_accounts_tenant,16384,16 kB,0,0,CREATE INDEX idx_company_bank_accounts_tenant ON public.company_bank_accounts USING btree (tenant_id)
company_settings,idx_company_settings_tenant,16384,16 kB,0,0,CREATE INDEX idx_company_settings_tenant ON public.company_settings USING btree (tenant_id)
company_settings,idx_company_settings_website_status,16384,16 kB,0,0,CREATE INDEX idx_company_settings_website_status ON public.company_settings USING btree (website_status)
company_settings,idx_company_settings_website_subdomain,16384,16 kB,0,0,CREATE INDEX idx_company_settings_website_subdomain ON public.company_settings USING btree (website_subdomain) WHERE (website_subdomain IS NOT NULL)
conversation_contexts,idx_conv_contexts_conversation,16384,16 kB,117,23,CREATE INDEX idx_conv_contexts_conversation ON public.conversation_contexts USING btree (conversation_id)
conversation_contexts,idx_conv_contexts_lookup,16384,16 kB,117,23,"CREATE INDEX idx_conv_contexts_lookup ON public.conversation_contexts USING btree (context_type, context_id)"
conversation_contexts,idx_conversation_contexts_context,16384,16 kB,117,23,"CREATE INDEX idx_conversation_contexts_context ON public.conversation_contexts USING btree (context_type, context_id)"
conversations,idx_conversations_status,16384,16 kB,676,30,CREATE INDEX idx_conversations_status ON public.conversations USING btree (status)
conversations,idx_conversations_tenant,16384,16 kB,676,30,CREATE INDEX idx_conversations_tenant ON public.conversations USING btree (tenant_id)
customer_addresses,idx_customer_addresses_default,16384,16 kB,0,0,"CREATE INDEX idx_customer_addresses_default ON public.customer_addresses USING btree (customer_id, is_default) WHERE (is_default = true)"
database_backups,idx_database_backups_status,16384,16 kB,0,0,CREATE INDEX idx_database_backups_status ON public.database_backups USING btree (status)
database_backups,idx_database_backups_tenant,16384,16 kB,0,0,CREATE INDEX idx_database_backups_tenant ON public.database_backups USING btree (tenant_id)
database_backups,idx_database_backups_type,16384,16 kB,0,0,CREATE INDEX idx_database_backups_type ON public.database_backups USING btree (backup_type)
departments,idx_departments_code,16384,16 kB,0,0,CREATE INDEX idx_departments_code ON public.departments USING btree (code)
departments,idx_departments_manager,16384,16 kB,0,0,CREATE INDEX idx_departments_manager ON public.departments USING btree (manager_id)
departments,idx_departments_tenant,16384,16 kB,0,0,CREATE INDEX idx_departments_tenant ON public.departments USING btree (tenant_id)
document_sequences,idx_document_sequences_tenant,16384,16 kB,195,8,CREATE INDEX idx_document_sequences_tenant ON public.document_sequences USING btree (tenant_id)
email_accounts,idx_email_accounts_tenant,16384,16 kB,767,4,CREATE INDEX idx_email_accounts_tenant ON public.email_accounts USING btree (tenant_id)
email_push_subscriptions,idx_email_push_email,16384,16 kB,118,2,CREATE INDEX idx_email_push_email ON public.email_push_subscriptions USING btree (email_address)
email_push_subscriptions,idx_email_push_provider,16384,16 kB,118,2,CREATE INDEX idx_email_push_provider ON public.email_push_subscriptions USING btree (provider)
email_push_subscriptions,idx_email_push_user,16384,16 kB,118,2,CREATE INDEX idx_email_push_user ON public.email_push_subscriptions USING btree (user_id)
employee_advance_allocations,idx_employee_advance_allocations_advance,16384,16 kB,0,0,CREATE INDEX idx_employee_advance_allocations_advance ON public.employee_advance_allocations USING btree (advance_id)
employee_advances,idx_employee_advances_employee_status,16384,16 kB,2,1,"CREATE INDEX idx_employee_advances_employee_status ON public.employee_advances USING btree (tenant_id, employee_id, status)"
employee_advances,idx_employee_advances_paid_at,16384,16 kB,2,1,"CREATE INDEX idx_employee_advances_paid_at ON public.employee_advances USING btree (tenant_id, paid_at)"
employee_advances,idx_employee_advances_tenant_employee_paid_cursor,16384,16 kB,2,1,"CREATE INDEX idx_employee_advances_tenant_employee_paid_cursor ON public.employee_advances USING btree (tenant_id, employee_id, paid_at DESC, id DESC)"
employee_default_shift_blocks,idx_employee_default_shift_blocks_employee,16384,16 kB,0,0,"CREATE INDEX idx_employee_default_shift_blocks_employee ON public.employee_default_shift_blocks USING btree (employee_id, day_of_week)"
employee_portal_accounts,idx_employee_portal_accounts_employee,16384,16 kB,0,0,CREATE INDEX idx_employee_portal_accounts_employee ON public.employee_portal_accounts USING btree (employee_id)
employee_portal_accounts,idx_employee_portal_accounts_tenant,16384,16 kB,0,0,CREATE INDEX idx_employee_portal_accounts_tenant ON public.employee_portal_accounts USING btree (tenant_id)
employees,employees_company_id_department_id_idx,16384,16 kB,0,0,"CREATE INDEX employees_company_id_department_id_idx ON public.employees USING btree (company_id, department_id)"
employees,idx_employees_department,16384,16 kB,0,0,CREATE INDEX idx_employees_department ON public.employees USING btree (department_id)
employees,idx_employees_employee_number,16384,16 kB,0,0,CREATE INDEX idx_employees_employee_number ON public.employees USING btree (employee_number)
employees,idx_employees_rut,16384,16 kB,0,0,CREATE INDEX idx_employees_rut ON public.employees USING btree (rut)
employees,idx_employees_salary_account,16384,16 kB,0,0,CREATE INDEX idx_employees_salary_account ON public.employees USING btree (salary_account_id)
employees,idx_employees_user_id,16384,16 kB,0,0,CREATE INDEX idx_employees_user_id ON public.employees USING btree (user_id)
expense_aggregate_save_operations,idx_expense_aggregate_save_operations_expense,16384,16 kB,0,0,"CREATE INDEX idx_expense_aggregate_save_operations_expense ON public.expense_aggregate_save_operations USING btree (tenant_id, expense_id, created_at DESC)"
expense_categories,idx_expense_categories_name,16384,16 kB,0,0,CREATE INDEX idx_expense_categories_name ON public.expense_categories USING btree (lower(name))
expense_lines,idx_expense_lines_tenant,16384,16 kB,4,4,CREATE INDEX idx_expense_lines_tenant ON public.expense_lines USING btree (tenant_id)
expense_links,idx_expense_links_expense,16384,16 kB,3,3,CREATE INDEX idx_expense_links_expense ON public.expense_links USING btree (expense_id)
expense_links,idx_expense_links_purchase_invoice,16384,16 kB,3,3,CREATE INDEX idx_expense_links_purchase_invoice ON public.expense_links USING btree (purchase_invoice_id)
expense_payments,idx_expense_payments_method,16384,16 kB,0,0,CREATE INDEX idx_expense_payments_method ON public.expense_payments USING btree (payment_method_id)
expense_templates,idx_expense_templates_category,16384,16 kB,0,0,CREATE INDEX idx_expense_templates_category ON public.expense_templates USING btree (trigger_category_id)
expense_templates,idx_expense_templates_supplier,16384,16 kB,0,0,CREATE INDEX idx_expense_templates_supplier ON public.expense_templates USING btree (trigger_supplier_id)
expense_templates,idx_expense_templates_tenant,16384,16 kB,0,0,CREATE INDEX idx_expense_templates_tenant ON public.expense_templates USING btree (tenant_id)
expenses,idx_expenses_category_id,16384,16 kB,20,4,CREATE INDEX idx_expenses_category_id ON public.expenses USING btree (category_id)
expenses,idx_expenses_issue_date,16384,16 kB,20,4,CREATE INDEX idx_expenses_issue_date ON public.expenses USING btree (issue_date)
expenses,idx_expenses_payment_status,16384,16 kB,20,4,CREATE INDEX idx_expenses_payment_status ON public.expenses USING btree (payment_status)
expenses,idx_expenses_posting_status,16384,16 kB,20,4,CREATE INDEX idx_expenses_posting_status ON public.expenses USING btree (posting_status)
external_parties,idx_external_parties_tenant_name,16384,16 kB,4,0,"CREATE INDEX idx_external_parties_tenant_name ON public.external_parties USING btree (tenant_id, lower(display_name))"
f29_declarations,idx_f29_declarations_period,16384,16 kB,0,0,"CREATE INDEX idx_f29_declarations_period ON public.f29_declarations USING btree (tenant_id, period_year, period_month)"
f29_declarations,idx_f29_declarations_status,16384,16 kB,0,0,"CREATE INDEX idx_f29_declarations_status ON public.f29_declarations USING btree (tenant_id, status)"
f29_declarations,idx_f29_declarations_tenant,16384,16 kB,0,0,CREATE INDEX idx_f29_declarations_tenant ON public.f29_declarations USING btree (tenant_id)
featured_products,idx_featured_products_active,16384,16 kB,0,0,"CREATE INDEX idx_featured_products_active ON public.featured_products USING btree (active, order_index)"
featured_products,idx_featured_products_product,16384,16 kB,0,0,CREATE INDEX idx_featured_products_product ON public.featured_products USING btree (product_id)
