table,index,size_bytes,size,table_writes_since_2026-08-30,live_rows,definition
online_order_inventory_reservation_events,idx_online_inventory_reservation_events_order,16384,16 kB,0,0,"CREATE INDEX idx_online_inventory_reservation_events_order ON public.online_order_inventory_reservation_events USING btree (tenant_id, order_id, occurred_at DESC, id DESC)"
online_order_inventory_reservation_events,idx_online_inventory_reservation_events_reservation,16384,16 kB,0,0,"CREATE INDEX idx_online_inventory_reservation_events_reservation ON public.online_order_inventory_reservation_events USING btree (reservation_id, id)"
online_order_inventory_reservations,idx_online_inventory_reservations_order,16384,16 kB,0,0,"CREATE INDEX idx_online_inventory_reservations_order ON public.online_order_inventory_reservations USING btree (tenant_id, order_id, state, product_id)"
online_order_items,idx_online_order_items_product,16384,16 kB,0,0,CREATE INDEX idx_online_order_items_product ON public.online_order_items USING btree (product_id)
online_order_items,idx_online_order_items_tenant,16384,16 kB,0,0,CREATE INDEX idx_online_order_items_tenant ON public.online_order_items USING btree (tenant_id)
online_order_payment_preferences,idx_online_order_payment_preferences_order,16384,16 kB,0,0,"CREATE INDEX idx_online_order_payment_preferences_order ON public.online_order_payment_preferences USING btree (tenant_id, order_id, generation DESC, created_at DESC)"
online_orders,idx_online_orders_cancellation_operation,16384,16 kB,0,0,"CREATE INDEX idx_online_orders_cancellation_operation ON public.online_orders USING btree (tenant_id, cancellation_operation_id) WHERE (cancellation_operation_id IS NOT NULL)"
online_orders,idx_online_orders_created,16384,16 kB,0,0,CREATE INDEX idx_online_orders_created ON public.online_orders USING btree (created_at DESC)
online_orders,idx_online_orders_number,16384,16 kB,0,0,CREATE INDEX idx_online_orders_number ON public.online_orders USING btree (order_number)
online_orders,idx_online_orders_payment_status,16384,16 kB,0,0,CREATE INDEX idx_online_orders_payment_status ON public.online_orders USING btree (payment_status)
online_orders,idx_online_orders_status,16384,16 kB,0,0,CREATE INDEX idx_online_orders_status ON public.online_orders USING btree (status)
online_orders,idx_online_orders_tenant,16384,16 kB,0,0,CREATE INDEX idx_online_orders_tenant ON public.online_orders USING btree (tenant_id)
online_shipping_rate_tiers,idx_online_shipping_rate_tiers_lookup,16384,16 kB,0,0,"CREATE INDEX idx_online_shipping_rate_tiers_lookup ON public.online_shipping_rate_tiers USING btree (tenant_id, country_code, is_active, min_order_gross)"
payment_methods,idx_payment_methods_code,16384,16 kB,0,0,CREATE INDEX idx_payment_methods_code ON public.payment_methods USING btree (code)
payment_methods,idx_payment_methods_sort_order,16384,16 kB,0,0,CREATE INDEX idx_payment_methods_sort_order ON public.payment_methods USING btree (sort_order)
payment_methods,idx_payment_methods_terminal_profile,16384,16 kB,0,0,"CREATE INDEX idx_payment_methods_terminal_profile ON public.payment_methods USING btree (tenant_id, terminal_profile_id) WHERE (terminal_profile_id IS NOT NULL)"
payment_methods,idx_payment_methods_usage_scope,16384,16 kB,0,0,"CREATE INDEX idx_payment_methods_usage_scope ON public.payment_methods USING btree (tenant_id, usage_scope, is_active, sort_order)"
payment_terminal_profiles,idx_payment_terminal_profiles_tenant_active,16384,16 kB,0,0,"CREATE INDEX idx_payment_terminal_profiles_tenant_active ON public.payment_terminal_profiles USING btree (tenant_id, is_active, provider_code)"
payment_terminal_terms,idx_payment_terminal_terms_method_effective,16384,16 kB,0,0,"CREATE INDEX idx_payment_terminal_terms_method_effective ON public.payment_terminal_terms USING btree (payment_method_id, effective_from DESC)"
payment_terminal_terms,idx_payment_terminal_terms_profile_effective,16384,16 kB,0,0,"CREATE INDEX idx_payment_terminal_terms_profile_effective ON public.payment_terminal_terms USING btree (terminal_profile_id, instrument, effective_from DESC)"
payroll_money_operation_movements,idx_payroll_money_operation_movements_operation,16384,16 kB,0,0,"CREATE INDEX idx_payroll_money_operation_movements_operation ON public.payroll_money_operation_movements USING btree (tenant_id, operation_id)"
payroll_money_operations,idx_payroll_money_operations_voucher,16384,16 kB,1,1,"CREATE INDEX idx_payroll_money_operations_voucher ON public.payroll_money_operations USING btree (tenant_id, voucher_id) WHERE (voucher_id IS NOT NULL)"
payroll_payment_statement_allocations,idx_payroll_payment_statement_allocations_row,16384,16 kB,0,0,"CREATE INDEX idx_payroll_payment_statement_allocations_row ON public.payroll_payment_statement_allocations USING btree (tenant_id, statement_row_id)"
payroll_payment_statement_allocations,idx_payroll_payment_statement_allocations_workspace,16384,16 kB,0,0,"CREATE INDEX idx_payroll_payment_statement_allocations_workspace ON public.payroll_payment_statement_allocations USING btree (workspace_id, workspace_leg_id)"
payroll_payment_workspace_legs,idx_payroll_payment_workspace_legs_voucher,16384,16 kB,0,0,"CREATE INDEX idx_payroll_payment_workspace_legs_voucher ON public.payroll_payment_workspace_legs USING btree (voucher_id, voucher_line_id) WHERE (voucher_id IS NOT NULL)"
payroll_payment_workspace_legs,idx_payroll_payment_workspace_legs_workspace,16384,16 kB,0,0,"CREATE INDEX idx_payroll_payment_workspace_legs_workspace ON public.payroll_payment_workspace_legs USING btree (workspace_id, target_ordinal, leg_ordinal)"
payroll_payment_workspaces,idx_payroll_payment_workspaces_open,16384,16 kB,0,0,"CREATE INDEX idx_payroll_payment_workspaces_open ON public.payroll_payment_workspaces USING btree (tenant_id, status, updated_at DESC)"
payroll_statement_import_operations,idx_payroll_statement_import_operations_import,16384,16 kB,0,0,"CREATE INDEX idx_payroll_statement_import_operations_import ON public.payroll_statement_import_operations USING btree (import_id, revision)"
payroll_statement_imports,idx_payroll_statement_imports_review,16384,16 kB,0,0,"CREATE INDEX idx_payroll_statement_imports_review ON public.payroll_statement_imports USING btree (tenant_id, status, created_at DESC)"
payroll_statement_rows,idx_payroll_statement_rows_import_date,16384,16 kB,0,0,"CREATE INDEX idx_payroll_statement_rows_import_date ON public.payroll_statement_rows USING btree (import_id, transaction_date, row_ordinal)"
payroll_voucher_draft_operations,idx_payroll_voucher_draft_operations_voucher,16384,16 kB,3,3,"CREATE INDEX idx_payroll_voucher_draft_operations_voucher ON public.payroll_voucher_draft_operations USING btree (tenant_id, voucher_id)"
payroll_voucher_lines,idx_pvl_employee,16384,16 kB,19,18,CREATE INDEX idx_pvl_employee ON public.payroll_voucher_lines USING btree (employee_id)
payroll_voucher_lines,idx_pvl_voucher,16384,16 kB,19,18,CREATE INDEX idx_pvl_voucher ON public.payroll_voucher_lines USING btree (voucher_id)
payroll_vouchers,idx_payroll_vouchers_tenant,16384,16 kB,26,3,CREATE INDEX idx_payroll_vouchers_tenant ON public.payroll_vouchers USING btree (tenant_id)
payroll_vouchers,idx_payroll_vouchers_tenant_history_cursor,16384,16 kB,26,3,"CREATE INDEX idx_payroll_vouchers_tenant_history_cursor ON public.payroll_vouchers USING btree (tenant_id, period_end DESC, id DESC) WHERE (status = ANY (ARRAY['paid'::text, 'voided'::text]))"
planned_shifts,idx_planned_shifts_status,16384,16 kB,8,8,"CREATE INDEX idx_planned_shifts_status ON public.planned_shifts USING btree (tenant_id, status)"
planned_shifts,idx_planned_shifts_tenant_time,16384,16 kB,8,8,"CREATE INDEX idx_planned_shifts_tenant_time ON public.planned_shifts USING btree (tenant_id, start_at, end_at)"
product_brands,idx_product_brands_is_active,16384,16 kB,0,0,CREATE INDEX idx_product_brands_is_active ON public.product_brands USING btree (is_active)
product_brands,idx_product_brands_name,16384,16 kB,0,0,CREATE INDEX idx_product_brands_name ON public.product_brands USING btree (lower(name))
product_brands,idx_product_brands_tenant,16384,16 kB,0,0,CREATE INDEX idx_product_brands_tenant ON public.product_brands USING btree (tenant_id)
product_bulk_edit_history,idx_product_bulk_edit_history_created_by,16384,16 kB,0,0,CREATE INDEX idx_product_bulk_edit_history_created_by ON public.product_bulk_edit_history USING btree (created_by)
product_bulk_edit_history,idx_product_bulk_edit_history_tenant_created_at,16384,16 kB,0,0,"CREATE INDEX idx_product_bulk_edit_history_tenant_created_at ON public.product_bulk_edit_history USING btree (tenant_id, created_at DESC)"
product_catalog_sync_events,idx_product_catalog_sync_events_catalog_retailer,16384,16 kB,13,13,"CREATE INDEX idx_product_catalog_sync_events_catalog_retailer ON public.product_catalog_sync_events USING btree (catalog_id, retailer_id, created_at DESC)"
product_catalog_sync_events,idx_product_catalog_sync_events_product_created,16384,16 kB,13,13,"CREATE INDEX idx_product_catalog_sync_events_product_created ON public.product_catalog_sync_events USING btree (product_id, created_at DESC)"
product_catalog_sync_events,idx_product_catalog_sync_events_tenant_created,16384,16 kB,13,13,"CREATE INDEX idx_product_catalog_sync_events_tenant_created ON public.product_catalog_sync_events USING btree (tenant_id, created_at DESC)"
product_categories,idx_product_categories_is_active,16384,16 kB,0,0,CREATE INDEX idx_product_categories_is_active ON public.product_categories USING btree (is_active)
product_categories,idx_product_categories_show_on_website,16384,16 kB,0,0,CREATE INDEX idx_product_categories_show_on_website ON public.product_categories USING btree (show_on_website) WHERE (show_on_website = true)
product_set_components,idx_product_set_components_component,16384,16 kB,0,0,CREATE INDEX idx_product_set_components_component ON public.product_set_components USING btree (component_product_id)
product_tax_classification_batches,idx_product_tax_classification_batches_tenant_time,16384,16 kB,0,0,"CREATE INDEX idx_product_tax_classification_batches_tenant_time ON public.product_tax_classification_batches USING btree (tenant_id, applied_at DESC)"
products,idx_products_is_set,16384,16 kB,891,1674,CREATE INDEX idx_products_is_set ON public.products USING btree (is_set) WHERE (is_set = true)
products,idx_products_whatsapp_catalog,16384,16 kB,891,1674,"CREATE INDEX idx_products_whatsapp_catalog ON public.products USING btree (tenant_id, updated_at DESC) WHERE (is_whatsapp_catalog = true)"
purchase_credit_note_lines,idx_purchase_credit_note_lines_source,16384,16 kB,0,0,"CREATE INDEX idx_purchase_credit_note_lines_source ON public.purchase_credit_note_lines USING btree (tenant_id, purchase_invoice_id, source_line_key)"
purchase_invoices,idx_purchase_invoices_confirmed_date,16384,16 kB,63,85,CREATE INDEX idx_purchase_invoices_confirmed_date ON public.purchase_invoices USING btree (confirmed_date DESC NULLS LAST)
purchase_invoices,idx_purchase_invoices_date,16384,16 kB,63,85,CREATE INDEX idx_purchase_invoices_date ON public.purchase_invoices USING btree (date)
purchase_invoices,idx_purchase_invoices_paid_date,16384,16 kB,63,85,CREATE INDEX idx_purchase_invoices_paid_date ON public.purchase_invoices USING btree (paid_date DESC NULLS LAST)
purchase_invoices,idx_purchase_invoices_prepayment_model,16384,16 kB,63,85,CREATE INDEX idx_purchase_invoices_prepayment_model ON public.purchase_invoices USING btree (prepayment_model)
purchase_invoices,idx_purchase_invoices_received_date,16384,16 kB,63,85,"CREATE INDEX idx_purchase_invoices_received_date ON public.purchase_invoices USING btree (tenant_id, received_date) WHERE (received_date IS NOT NULL)"
purchase_invoices,idx_purchase_invoices_sent_date,16384,16 kB,63,85,"CREATE INDEX idx_purchase_invoices_sent_date ON public.purchase_invoices USING btree (tenant_id, sent_date) WHERE (sent_date IS NOT NULL)"
purchase_invoices,idx_purchase_invoices_status,16384,16 kB,63,85,CREATE INDEX idx_purchase_invoices_status ON public.purchase_invoices USING btree (status)
purchase_order_items,idx_purchase_order_items_order,16384,16 kB,0,0,CREATE INDEX idx_purchase_order_items_order ON public.purchase_order_items USING btree (purchase_order_id)
purchase_order_items,idx_purchase_order_items_tenant,16384,16 kB,0,0,CREATE INDEX idx_purchase_order_items_tenant ON public.purchase_order_items USING btree (tenant_id)
purchase_orders,idx_purchase_orders_status,16384,16 kB,0,0,CREATE INDEX idx_purchase_orders_status ON public.purchase_orders USING btree (status)
purchase_orders,idx_purchase_orders_supplier,16384,16 kB,0,0,CREATE INDEX idx_purchase_orders_supplier ON public.purchase_orders USING btree (supplier_id)
purchase_orders,idx_purchase_orders_tenant,16384,16 kB,0,0,CREATE INDEX idx_purchase_orders_tenant ON public.purchase_orders USING btree (tenant_id)
purchase_orders,purchase_orders_company_id_order_date_idx,16384,16 kB,0,0,"CREATE INDEX purchase_orders_company_id_order_date_idx ON public.purchase_orders USING btree (company_id, order_date)"
purchase_payments,idx_purchase_payments_deleted_at,16384,16 kB,6,4,CREATE INDEX idx_purchase_payments_deleted_at ON public.purchase_payments USING btree (deleted_at) WHERE (deleted_at IS NOT NULL)
purchase_payments,idx_purchase_payments_payment_method_id,16384,16 kB,6,4,CREATE INDEX idx_purchase_payments_payment_method_id ON public.purchase_payments USING btree (payment_method_id)
purchase_plan_events,idx_purchase_plan_events_plan,16384,16 kB,0,0,"CREATE INDEX idx_purchase_plan_events_plan ON public.purchase_plan_events USING btree (tenant_id, plan_id, occurred_at DESC, id DESC)"
purchase_plan_lines,idx_purchase_plan_lines_plan_active,16384,16 kB,0,0,"CREATE INDEX idx_purchase_plan_lines_plan_active ON public.purchase_plan_lines USING btree (tenant_id, plan_id, updated_at DESC, id) WHERE (state = 'active'::text)"
purchase_receipt_compatibility_events,idx_purchase_receipt_compatibility_invoice,16384,16 kB,0,0,"CREATE INDEX idx_purchase_receipt_compatibility_invoice ON public.purchase_receipt_compatibility_events USING btree (tenant_id, purchase_invoice_id, occurred_at DESC)"
purchase_receipt_compatibility_events,idx_purchase_receipt_compatibility_operation,16384,16 kB,0,0,"CREATE INDEX idx_purchase_receipt_compatibility_operation ON public.purchase_receipt_compatibility_events USING btree (tenant_id, operation_id) WHERE (operation_id IS NOT NULL)"
purchase_receipt_compatibility_events,idx_purchase_receipt_compatibility_tenant_time,16384,16 kB,0,0,"CREATE INDEX idx_purchase_receipt_compatibility_tenant_time ON public.purchase_receipt_compatibility_events USING btree (tenant_id, occurred_at DESC)"
purchase_receipt_resolution_cases,idx_purchase_receipt_resolution_cases_receipt,16384,16 kB,0,0,"CREATE INDEX idx_purchase_receipt_resolution_cases_receipt ON public.purchase_receipt_resolution_cases USING btree (tenant_id, purchase_receipt_id, created_at DESC)"
purchase_supplier_refunds,idx_purchase_supplier_refunds_note,16384,16 kB,0,0,"CREATE INDEX idx_purchase_supplier_refunds_note ON public.purchase_supplier_refunds USING btree (tenant_id, purchase_credit_note_id, created_at DESC)"
purchase_supplier_return_line_movements,idx_purchase_supplier_return_movements_product,16384,16 kB,0,0,"CREATE INDEX idx_purchase_supplier_return_movements_product ON public.purchase_supplier_return_line_movements USING btree (tenant_id, product_id, created_at DESC)"
purchase_supplier_return_lines,idx_purchase_supplier_return_lines_receipt_line,16384,16 kB,0,0,"CREATE INDEX idx_purchase_supplier_return_lines_receipt_line ON public.purchase_supplier_return_lines USING btree (tenant_id, purchase_receipt_line_id, created_at DESC)"
purchase_supplier_returns,idx_purchase_supplier_returns_receipt,16384,16 kB,0,0,"CREATE INDEX idx_purchase_supplier_returns_receipt ON public.purchase_supplier_returns USING btree (tenant_id, purchase_receipt_id, created_at DESC)"
reset_configurations,idx_reset_configurations_tenant,16384,16 kB,0,0,CREATE INDEX idx_reset_configurations_tenant ON public.reset_configurations USING btree (tenant_id)
sales_channel_payment_events,idx_sales_channel_payment_events_order,16384,16 kB,0,0,"CREATE INDEX idx_sales_channel_payment_events_order ON public.sales_channel_payment_events USING btree (tenant_id, order_id, created_at DESC)"
sales_channel_payment_processing,idx_sales_channel_payment_processing_attention,16384,16 kB,0,0,"CREATE INDEX idx_sales_channel_payment_processing_attention ON public.sales_channel_payment_processing USING btree (tenant_id, processing_state, updated_at DESC, payment_event_id DESC)"
sales_channel_payment_processing_attempts,idx_sales_channel_payment_processing_attempts_order,16384,16 kB,0,0,"CREATE INDEX idx_sales_channel_payment_processing_attempts_order ON public.sales_channel_payment_processing_attempts USING btree (tenant_id, order_id, attempted_at DESC, id DESC)"
sales_customer_refunds,idx_sales_customer_refunds_note,16384,16 kB,0,0,"CREATE INDEX idx_sales_customer_refunds_note ON public.sales_customer_refunds USING btree (tenant_id, sales_credit_note_id, created_at DESC)"
sales_invoices,idx_sales_invoices_job_number,16384,16 kB,368,906,CREATE INDEX idx_sales_invoices_job_number ON public.sales_invoices USING btree (job_number) WHERE (job_number IS NOT NULL)
sales_order_items,idx_sales_order_items_tenant,16384,16 kB,0,0,CREATE INDEX idx_sales_order_items_tenant ON public.sales_order_items USING btree (tenant_id)
sales_orders,idx_sales_orders_customer,16384,16 kB,0,0,CREATE INDEX idx_sales_orders_customer ON public.sales_orders USING btree (customer_id)
sales_orders,idx_sales_orders_status,16384,16 kB,0,0,CREATE INDEX idx_sales_orders_status ON public.sales_orders USING btree (status)
sales_orders,idx_sales_orders_tenant,16384,16 kB,0,0,CREATE INDEX idx_sales_orders_tenant ON public.sales_orders USING btree (tenant_id)
sales_orders,sales_orders_company_id_order_date_idx,16384,16 kB,0,0,"CREATE INDEX sales_orders_company_id_order_date_idx ON public.sales_orders USING btree (company_id, order_date)"
sales_payment_command_receipts,idx_sales_payment_command_receipts_invoice,16384,16 kB,26,26,"CREATE INDEX idx_sales_payment_command_receipts_invoice ON public.sales_payment_command_receipts USING btree (tenant_id, invoice_id, completed_at DESC)"
sales_payment_edit_events,idx_sales_payment_edit_events_payment,16384,16 kB,1,1,"CREATE INDEX idx_sales_payment_edit_events_payment ON public.sales_payment_edit_events USING btree (tenant_id, payment_id, created_at DESC, id DESC)"
sales_payments,idx_sales_payments_deleted_at,16384,16 kB,42,39,CREATE INDEX idx_sales_payments_deleted_at ON public.sales_payments USING btree (deleted_at) WHERE (deleted_at IS NOT NULL)
sales_payments,idx_sales_payments_payment_method_id,16384,16 kB,42,39,CREATE INDEX idx_sales_payments_payment_method_id ON public.sales_payments USING btree (payment_method_id)
sales_return_lines,idx_sales_return_lines_source,16384,16 kB,0,0,"CREATE INDEX idx_sales_return_lines_source ON public.sales_return_lines USING btree (tenant_id, sales_invoice_id, source_line_key)"
sales_returns,idx_sales_returns_invoice,16384,16 kB,0,0,"CREATE INDEX idx_sales_returns_invoice ON public.sales_returns USING btree (tenant_id, sales_invoice_id, created_at DESC)"
service_packages,idx_service_packages_name,16384,16 kB,0,0,"CREATE INDEX idx_service_packages_name ON public.service_packages USING gin (to_tsvector('spanish'::regconfig, COALESCE(name, ''::text)))"
service_product_profile_mappings,idx_svc_product_map_profile,16384,16 kB,0,0,CREATE INDEX idx_svc_product_map_profile ON public.service_product_profile_mappings USING btree (service_profile_id)
service_profile_part_rules,idx_svc_profile_part_rules_profile,16384,16 kB,0,0,CREATE INDEX idx_svc_profile_part_rules_profile ON public.service_profile_part_rules USING btree (service_profile_id)
service_profile_task_templates,idx_svc_profile_task_templates_profile,16384,16 kB,0,0,CREATE INDEX idx_svc_profile_task_templates_profile ON public.service_profile_task_templates USING btree (service_profile_id)
service_profiles,idx_service_profiles_tenant,16384,16 kB,0,0,CREATE INDEX idx_service_profiles_tenant ON public.service_profiles USING btree (tenant_id)
smart_task_events,idx_smart_task_events_task,16384,16 kB,0,0,"CREATE INDEX idx_smart_task_events_task ON public.smart_task_events USING btree (task_id, created_at DESC)"
smart_tasks,idx_smart_tasks_assigned_to,16384,16 kB,0,0,CREATE INDEX idx_smart_tasks_assigned_to ON public.smart_tasks USING btree (assigned_to)
smart_tasks,idx_smart_tasks_linked_job_id,16384,16 kB,0,0,CREATE INDEX idx_smart_tasks_linked_job_id ON public.smart_tasks USING btree (linked_job_id)
smart_tasks,idx_smart_tasks_status,16384,16 kB,0,0,CREATE INDEX idx_smart_tasks_status ON public.smart_tasks USING btree (status)
smart_tasks,idx_smart_tasks_tenant_assigned_status,16384,16 kB,0,0,"CREATE INDEX idx_smart_tasks_tenant_assigned_status ON public.smart_tasks USING btree (tenant_id, assigned_to, status)"
smart_tasks,idx_smart_tasks_tenant_id,16384,16 kB,0,0,CREATE INDEX idx_smart_tasks_tenant_id ON public.smart_tasks USING btree (tenant_id)
spec_definitions,idx_spec_definitions_tenant,16384,16 kB,614,707,CREATE INDEX idx_spec_definitions_tenant ON public.spec_definitions USING btree (tenant_id)
spec_fact_readings,spec_fact_readings_tenant,16384,16 kB,181,14,CREATE INDEX spec_fact_readings_tenant ON public.spec_fact_readings USING btree (tenant_id)
spec_templates,idx_spec_templates_tenant,16384,16 kB,1115,107,CREATE INDEX idx_spec_templates_tenant ON public.spec_templates USING btree (tenant_id)
spreadsheet_cells,idx_cells_position,16384,16 kB,0,0,"CREATE INDEX idx_cells_position ON public.spreadsheet_cells USING btree (spreadsheet_id, row_index, col_index)"
spreadsheet_cells,idx_cells_spreadsheet,16384,16 kB,0,0,CREATE INDEX idx_cells_spreadsheet ON public.spreadsheet_cells USING btree (spreadsheet_id)
spreadsheets,idx_spreadsheets_tenant,16384,16 kB,0,0,CREATE INDEX idx_spreadsheets_tenant ON public.spreadsheets USING btree (tenant_id)
stock_adjustments,idx_stock_adjustments_operation,16384,16 kB,0,0,"CREATE INDEX idx_stock_adjustments_operation ON public.stock_adjustments USING btree (tenant_id, operation_id) WHERE (operation_id IS NOT NULL)"
supplier_contacts,supplier_contacts_tenant_phone_idx,16384,16 kB,16,10,"CREATE INDEX supplier_contacts_tenant_phone_idx ON public.supplier_contacts USING btree (tenant_id, phone_digits) WHERE (phone_digits IS NOT NULL)"
supplier_credential_access_events,idx_supplier_credential_events_supplier_time,16384,16 kB,62,108,"CREATE INDEX idx_supplier_credential_events_supplier_time ON public.supplier_credential_access_events USING btree (tenant_id, supplier_id, occurred_at DESC)"
supply_need_events,idx_supply_need_events_need,16384,16 kB,15,11,"CREATE INDEX idx_supply_need_events_need ON public.supply_need_events USING btree (tenant_id, supply_need_id, occurred_at DESC, id DESC)"
supply_needs,idx_supply_needs_job_bike_active,16384,16 kB,15,5,"CREATE INDEX idx_supply_needs_job_bike_active ON public.supply_needs USING btree (tenant_id, job_bike_id, supply_state, updated_at DESC, id) WHERE (job_bike_id IS NOT NULL)"
tenants,idx_tenants_custom_domain,16384,16 kB,0,0,CREATE INDEX idx_tenants_custom_domain ON public.tenants USING btree (custom_domain)
transactional_email_delivery_phase_events,idx_transactional_email_delivery_phase_events_tenant_time,16384,16 kB,0,0,"CREATE INDEX idx_transactional_email_delivery_phase_events_tenant_time ON public.transactional_email_delivery_phase_events USING btree (tenant_id, occurred_at DESC)"
transactional_email_outbox,idx_transactional_email_outbox_claim,16384,16 kB,0,0,"CREATE INDEX idx_transactional_email_outbox_claim ON public.transactional_email_outbox USING btree (delivery_mode, state, available_at, created_at) WHERE (state = ANY (ARRAY['pending'::text, 'leased'::text]))"
transactional_email_outbox,idx_transactional_email_outbox_event,16384,16 kB,0,0,CREATE INDEX idx_transactional_email_outbox_event ON public.transactional_email_outbox USING btree (order_event_id) WHERE (order_event_id IS NOT NULL)
transactional_email_outbox,idx_transactional_email_outbox_provider_message,16384,16 kB,0,0,"CREATE INDEX idx_transactional_email_outbox_provider_message ON public.transactional_email_outbox USING btree (provider, provider_message_id) WHERE (provider_message_id IS NOT NULL)"
transactional_email_provider_events,idx_transactional_email_provider_events_message,16384,16 kB,0,0,"CREATE INDEX idx_transactional_email_provider_events_message ON public.transactional_email_provider_events USING btree (provider, provider_message_id, occurred_at DESC) WHERE (provider_message_id IS NOT NULL)"
transactional_email_provider_events,idx_transactional_email_provider_events_outbox,16384,16 kB,0,0,"CREATE INDEX idx_transactional_email_provider_events_outbox ON public.transactional_email_provider_events USING btree (outbox_id, occurred_at DESC) WHERE (outbox_id IS NOT NULL)"
user_invitations,idx_invitations_email_status,16384,16 kB,0,0,"CREATE INDEX idx_invitations_email_status ON public.user_invitations USING btree (email, status)"
user_invitations,idx_invitations_tenant,16384,16 kB,0,0,CREATE INDEX idx_invitations_tenant ON public.user_invitations USING btree (tenant_id)
user_invitations,idx_user_invitations_email,16384,16 kB,0,0,CREATE INDEX idx_user_invitations_email ON public.user_invitations USING btree (email) WHERE (status = 'pending'::text)
user_invitations,idx_user_invitations_employee_id,16384,16 kB,0,0,CREATE INDEX idx_user_invitations_employee_id ON public.user_invitations USING btree (employee_id)
user_invitations,idx_user_invitations_tenant,16384,16 kB,0,0,CREATE INDEX idx_user_invitations_tenant ON public.user_invitations USING btree (tenant_id)
user_profiles,idx_user_profiles_employee,16384,16 kB,0,0,CREATE INDEX idx_user_profiles_employee ON public.user_profiles USING btree (employee_id)
user_profiles,idx_user_profiles_user,16384,16 kB,0,0,CREATE INDEX idx_user_profiles_user ON public.user_profiles USING btree (user_id)
users_profiles,idx_users_profiles_tenant,16384,16 kB,0,0,CREATE INDEX idx_users_profiles_tenant ON public.users_profiles USING btree (tenant_id)
website_backups,idx_website_backups_auto,16384,16 kB,0,0,CREATE INDEX idx_website_backups_auto ON public.website_backups USING btree (is_auto_backup)
website_backups,idx_website_backups_created,16384,16 kB,0,0,CREATE INDEX idx_website_backups_created ON public.website_backups USING btree (created_at DESC)
website_backups,idx_website_backups_tenant,16384,16 kB,0,0,CREATE INDEX idx_website_backups_tenant ON public.website_backups USING btree (tenant_id)
website_blocks,idx_website_blocks_type,16384,16 kB,0,0,CREATE INDEX idx_website_blocks_type ON public.website_blocks USING btree (block_type)
website_blocks,idx_website_blocks_visible,16384,16 kB,0,0,"CREATE INDEX idx_website_blocks_visible ON public.website_blocks USING btree (is_visible, order_index)"
website_content,idx_website_content_tenant,16384,16 kB,0,0,CREATE INDEX idx_website_content_tenant ON public.website_content USING btree (tenant_id)
website_navigation,idx_website_navigation_location,16384,16 kB,0,0,CREATE INDEX idx_website_navigation_location ON public.website_navigation USING btree (menu_location)
website_navigation,idx_website_navigation_tenant,16384,16 kB,0,0,CREATE INDEX idx_website_navigation_tenant ON public.website_navigation USING btree (tenant_id)
whatsapp_channels,idx_whatsapp_channels_tenant,16384,16 kB,0,0,CREATE INDEX idx_whatsapp_channels_tenant ON public.whatsapp_channels USING btree (tenant_id)
whatsapp_conversation_bindings,idx_whatsapp_bindings_customer,16384,16 kB,353,20,CREATE INDEX idx_whatsapp_bindings_customer ON public.whatsapp_conversation_bindings USING btree (customer_id) WHERE (customer_id IS NOT NULL)
whatsapp_conversation_bindings,idx_whatsapp_bindings_supplier_contact,16384,16 kB,353,20,CREATE INDEX idx_whatsapp_bindings_supplier_contact ON public.whatsapp_conversation_bindings USING btree (supplier_contact_id) WHERE (supplier_contact_id IS NOT NULL)
wheel_builds,idx_wheel_builds_bike,16384,16 kB,0,0,CREATE INDEX idx_wheel_builds_bike ON public.wheel_builds USING btree (bike_id)
wheel_builds,idx_wheel_builds_tenant,16384,16 kB,0,0,CREATE INDEX idx_wheel_builds_tenant ON public.wheel_builds USING btree (tenant_id)
wheel_hubs,idx_wheel_hubs_hub_type,16384,16 kB,0,0,CREATE INDEX idx_wheel_hubs_hub_type ON public.wheel_hubs USING btree (hub_type)
wheel_hubs,idx_wheel_hubs_old,16384,16 kB,0,0,CREATE INDEX idx_wheel_hubs_old ON public.wheel_hubs USING btree (old_mm)
wheel_hubs,idx_wheel_hubs_product,16384,16 kB,0,0,CREATE INDEX idx_wheel_hubs_product ON public.wheel_hubs USING btree (product_id)
wheel_hubs,idx_wheel_hubs_spoke_holes,16384,16 kB,0,0,CREATE INDEX idx_wheel_hubs_spoke_holes ON public.wheel_hubs USING btree (spoke_holes)
wheel_hubs,idx_wheel_hubs_tenant,16384,16 kB,0,0,CREATE INDEX idx_wheel_hubs_tenant ON public.wheel_hubs USING btree (tenant_id)
wheel_rims,idx_wheel_rims_erd,16384,16 kB,0,0,CREATE INDEX idx_wheel_rims_erd ON public.wheel_rims USING btree (erd_mm)
wheel_rims,idx_wheel_rims_product,16384,16 kB,0,0,CREATE INDEX idx_wheel_rims_product ON public.wheel_rims USING btree (product_id)
wheel_rims,idx_wheel_rims_spoke_holes,16384,16 kB,0,0,CREATE INDEX idx_wheel_rims_spoke_holes ON public.wheel_rims USING btree (spoke_holes)
wheel_rims,idx_wheel_rims_tenant,16384,16 kB,0,0,CREATE INDEX idx_wheel_rims_tenant ON public.wheel_rims USING btree (tenant_id)
wheel_rims,idx_wheel_rims_wheel_size,16384,16 kB,0,0,CREATE INDEX idx_wheel_rims_wheel_size ON public.wheel_rims USING btree (wheel_size)
